list_id,attribute_id,attribute_value
129927192,commercial_type,Văn phòng
132255773,rooms,3 PN
132255773,house_type,"Nhà ngõ, hẻm"
132313118,rooms,2 PN
132313118,direction,Hướng Tây Nam
132313118,apartment_type,Chung cư
132360224,rooms,9 PN
132360224,house_type,"Nhà ngõ, hẻm"
132360229,rooms,2 PN
132360229,direction,Hướng Đông
132360229,apartment_type,Chung cư
132362280,rooms,2 PN
132362280,direction,Hướng Tây Bắc
132362280,apartment_type,Chung cư
132358185,rooms,3 PN
132358185,direction,Hướng Đông Bắc
132358185,house_type,"Nhà ngõ, hẻm"
132358189,rooms,4 PN
132358189,house_type,"Nhà ngõ, hẻm"
132364346,rooms,2 PN
132364346,direction,Hướng Đông Nam
132364346,house_type,"Nhà ngõ, hẻm"
122746940,rooms,10 PN
122746940,house_type,Nhà phố liền kề
132110409,rooms,1 PN
132110409,apartment_type,"Căn hộ dịch vụ, mini"
131741774,rooms,1 PN
131741774,apartment_type,Chung cư
132208719,rooms,4 PN
132208719,direction,Hướng Nam
132208719,house_type,"Nhà ngõ, hẻm"
132327504,rooms,1 PN
132327504,apartment_type,"Căn hộ dịch vụ, mini"
131186773,rooms,2 PN
131186773,house_type,"Nhà ngõ, hẻm"
128454745,rooms,3 PN
128454745,house_type,"Nhà ngõ, hẻm"
132364379,rooms,3 PN
132364379,house_type,"Nhà ngõ, hẻm"
132163678,rooms,1 PN
132163678,apartment_type,"Căn hộ dịch vụ, mini"
102406246,rooms,1 PN
102406246,apartment_type,"Căn hộ dịch vụ, mini"
132321392,furnishing_rent,Nội thất cao cấp
132319353,commercial_type,Mặt bằng kinh doanh
132319353,furnishing_sell,Hoàn thiện cơ bản
131793039,land_type,Đất thổ cư
131793039,width,Ngang 3.3 m
132360336,commercial_type,Mặt bằng kinh doanh
132360341,rooms,3 PN
132360341,house_type,"Nhà ngõ, hẻm"
132348062,land_type,Đất thổ cư
132348062,width,Ngang 31 m
132366496,rooms,3 PN
132366496,apartment_type,"Tập thể, cư xá"
132208802,rooms,2 PN
132208802,direction,Hướng Đông Nam
132208802,apartment_type,Chung cư
131608739,furnishing_rent,Nội thất đầy đủ
131023015,furnishing_rent,Nội thất đầy đủ
132321450,rooms,1 PN
132321450,apartment_type,"Tập thể, cư xá"
132364462,commercial_type,Mặt bằng kinh doanh
132364462,furnishing_sell,Nội thất cao cấp
132327602,rooms,3 PN
132327602,house_type,"Nhà ngõ, hẻm"
132366518,commercial_type,Mặt bằng kinh doanh
123476164,rooms,1 PN
123476164,apartment_type,"Căn hộ dịch vụ, mini"
132350155,land_type,Đất thổ cư
132350155,width,Ngang 7 m
129710289,furnishing_rent,Nội thất đầy đủ
132366548,land_type,Đất thổ cư
132358358,land_type,Đất thổ cư
130992342,furnishing_rent,Nội thất đầy đủ
132120793,rooms,3 PN
132120793,house_type,"Nhà ngõ, hẻm"
132194527,rooms,1 PN
132194527,direction,Hướng Tây Nam
132194527,apartment_type,"Căn hộ dịch vụ, mini"
132350203,land_type,Đất thổ cư
132350203,width,Ngang 6 m
132366588,land_type,Đất thổ cư
132366588,width,Ngang 6.5 m
132335884,furnishing_rent,Nội thất đầy đủ
132237582,rooms,4 PN
132237582,direction,Hướng Đông Nam
132237582,house_type,"Nhà ngõ, hẻm"
132364561,rooms,4 PN
132364561,house_type,"Nhà ngõ, hẻm"
132360470,rooms,5 PN
132360470,house_type,"Nhà ngõ, hẻm"
131666206,furnishing_rent,Nội thất đầy đủ
129370400,furnishing_rent,Nội thất đầy đủ
132114722,rooms,8 PN
132114722,house_type,"Nhà ngõ, hẻm"
122747172,rooms,5 PN
122747172,house_type,Nhà phố liền kề
132337955,rooms,5 PN
132337955,house_type,Nhà phố liền kề
132333858,land_type,Đất thổ cư
132333858,width,Ngang 5 m
132356388,land_type,Đất thổ cư
132356388,width,Ngang 5.3 m
130343212,rooms,9 PN
130343212,house_type,"Nhà ngõ, hẻm"
132172079,land_type,Đất thổ cư
132172079,width,Ngang 4 m
132366642,furnishing_rent,Nội thất đầy đủ
132366648,rooms,2 PN
132366648,apartment_type,"Tập thể, cư xá"
131764537,land_type,Đất thổ cư
131764537,width,Ngang 3.4 m
132360505,rooms,2 PN
132360505,apartment_type,Chung cư
132346173,rooms,nhiều hơn 10 PN
132346173,house_type,"Nhà mặt phố, mặt tiền"
130965825,furnishing_rent,Nhà trống
132229441,furnishing_rent,Nội thất đầy đủ
131975498,furnishing_rent,Nội thất đầy đủ
132358482,land_type,Đất thổ cư
132358482,width,Ngang 4 m
132055378,rooms,3 PN
132055378,house_type,"Nhà mặt phố, mặt tiền"
132321624,rooms,2 PN
132321624,direction,Hướng Bắc
132321624,apartment_type,"Tập thể, cư xá"
132338025,commercial_type,Văn phòng
132366706,commercial_type,Mặt bằng kinh doanh
132069749,land_type,Đất thổ cư
132069749,width,Ngang 4.5 m
132350328,land_type,Đất thổ cư
132350328,width,Ngang 5.4 m
131305869,land_type,Đất thổ cư
131305869,width,Ngang 6 m
132366738,commercial_type,Văn phòng
132366738,furnishing_sell,Hoàn thiện cơ bản
132366747,land_type,Đất thổ cư
132362652,rooms,3 PN
132362652,house_type,"Nhà ngõ, hẻm"
132323748,land_type,Đất thổ cư
132323748,width,Ngang 5.15 m
132364714,rooms,5 PN
132364714,direction,Hướng Tây Nam
132364714,house_type,"Nhà ngõ, hẻm"
132366788,rooms,4 PN
132366788,house_type,"Nhà ngõ, hẻm"
132356547,land_type,Đất thổ cư
132356547,width,Ngang 6 m
132358603,furnishing_rent,Nội thất đầy đủ
131494358,rooms,2 PN
131494358,house_type,"Nhà ngõ, hẻm"
132364761,furnishing_rent,Nội thất cao cấp
131824090,furnishing_rent,Nhà trống
131334625,rooms,3 PN
131334625,apartment_type,"Tập thể, cư xá"
132311525,furnishing_rent,Nội thất cao cấp
132313575,rooms,4 PN
132313575,house_type,"Nhà ngõ, hẻm"
132284908,furnishing_rent,Nội thất đầy đủ
132366830,furnishing_rent,Nội thất đầy đủ
132366831,rooms,2 PN
132366831,apartment_type,"Căn hộ dịch vụ, mini"
132368882,land_type,Đất thổ cư
132368882,width,Ngang 4 m
132315645,rooms,2 PN
