list_id,property_type,listing_type,area_m2,living_area_m2,width_m,length_m,rooms,toilets,floors,legal_document,furnishing,street_name,price_per_m2,area_group,price_group
132176575,3,,125.0,,,,,,,,3.0,Đường Nguyễn Khang,152000.0,large,under_1b
132238015,3,,122.0,,,,4.0,,,,,Trường chinh,245901639.3442623,large,over_10b
132358858,3,rent,42.0,,,,3.0,3.0,,1.0,2.0,Phố Việt Hưng,261904.7619047619,small,under_1b
132330188,3,rent,100.0,,,,,,,,,Ngõ 850 Đường Láng,100000.0,large,under_1b
132358864,1,,80.0,,,,,,,,,vd4,75000000.0,medium,5_10b
132362965,1,,70.0,70.0,5.0,,3.0,4.0,7.0,1.0,1.0,Ngọc Lâm,454142857.14285713,medium,over_10b
131156709,1,,50.0,45.0,,,3.0,4.0,5.0,1.0,1.0,Phố Hoàng Liệt,270000000.0,small,over_10b
132266727,4,sale,90.0,90.0,8.0,12.0,5.0,6.0,6.0,1.0,2.0,NGÔ GIA TỰ- ĐẶNG VŨ HỶ,228888888.8888889,medium,over_10b
132365032,3,,35.0,,,,3.0,4.0,4.0,1.0,,Ngõ Thịnh Quang,192857142.85714287,small,5_10b
132358889,Phòng trọ,,40.0,,,,,,,,,Phố Khương Trung,124975.0,small,under_1b
132066031,5,,45.0,,,,2.0,2.0,,6.0,,Lò Đúc,62000000.0,small,1_3b
132360956,1,,65.5198,,,,2.0,2.0,,,1.0,Hoàng Liệt,57234606.943244636,medium,3_5b
132367103,3,rent,42.0,168.0,4.0,10.0,4.0,3.0,4.0,1.0,3.0,Ngõ 9 đường Cối Sa,154761.90476190476,small,under_1b
131939077,Phòng trọ,,20.0,,,,,,,,1.0,Đường Nguyễn Trãi,165000.0,very_small,under_1b
131910431,1,sale,19.0,63.0,3.9,4.7898,3.0,2.0,3.0,2.0,2.0,Phố Tân Khai,104210526.31578948,very_small,1_3b
132332320,3,rent,240.0,,,,,,,1.0,3.0,Phố Lê Trọng Tấn,216666.66666666666,large,under_1b
132332351,1,sale,70.0,,,,2.0,2.0,,6.0,,Bùi Xương Trạch,74285714.28571428,medium,5_10b
132358978,1,rent,86.0,,,,2.0,2.0,,6.0,,khai sơn city,116279.06976744186,medium,under_1b
132356939,3,,25.0,25.0,3.2,8.0,2.0,3.0,4.0,1.0,2.0,Đường Trương Định,260000000.0,very_small,5_10b
132358999,5,sale,110.0,,,,4.0,,,6.0,2.0,Phố Nguyên Hồng,58636363.63636363,large,5_10b
132356953,Phòng trọ,,25.0,,,,,,,,2.0,Đức Diễn,124000.0,very_small,under_1b
132174687,Phòng trọ,rent,20.0,,,,,,,,2.0,Khương Đình,185000.0,very_small,under_1b
132037482,Phòng trọ,,16.0,,,,,,,,,Đường Nguyễn Trãi,125000.0,very_small,under_1b
130759541,3,sale,21.0,21.0,5.0,4.0,2.0,,4.0,1.0,2.0,Phố Minh Khai,276190476.1904762,very_small,5_10b
130081678,1,sale,61.4,,,,2.0,2.0,,6.0,,Trần Hữu Dực,102605863.1921824,medium,5_10b
132332431,3,rent,90.0,170.0,3.5,,3.0,,2.0,1.0,3.0,Ngõ 1142 đê la thành,144444.44444444444,medium,under_1b
132311958,3,rent,75.0,,,,,,,,,Phố Hoàng Cầu,160000.0,medium,under_1b
132359072,3,rent,52.0,,,,3.0,3.0,,1.0,,nguyễn sơn,576923.0769230769,small,under_1b
132365222,3,rent,25.0,100.0,,,4.0,2.0,,,2.0,Phố Kim Ngưu,280000.0,very_small,under_1b
131398567,3,rent,50.0,,,,,,,,,Đường Nguyễn Chí Thanh,100000.0,small,under_1b
131879851,3,rent,90.0,,,,,,,,,Đường Nguyễn Xiển,122222.22222222222,medium,under_1b
132359085,3,sale,56.0,,,,2.0,,,,,Đường Ngô Gia Tự,160714285.7142857,small,5_10b
132363189,3,sale,75.0,75.0,7.0,11.0,11.0,,9.0,,,Phố Mễ Trì Thượng,253333333.33333334,medium,over_10b
131546044,2,rent,6000.0,,,,,,,,,Phố Linh Đường,58.333333333333336,very_large,under_1b
128791487,4,sale,300.0,,5.0,55.0,,,,6.0,,Đường Phú Diễn,2500000.0,very_large,under_1b
132361152,3,,30.0,,,,5.0,,,,,Cổ Nhuế,250000000.0,small,5_10b
131500993,Phòng trọ,,40.0,,,,,,,,,Ngõ 214 Nguyễn Xiển,137500.0,small,under_1b
131974084,1,rent,60.0,,,,9.0,7.0,5.0,,,Đường Nội Khu,183000000.0,medium,over_10b
132359108,1,,45.0,,,,5.0,,,,,Đường Ngọc Thụy,288888.8888888889,small,under_1b
131787721,Phòng trọ,,25.0,,,,,,,,2.0,Đường Phú Mỹ,108000.0,very_small,under_1b
132363212,3,sale,45.0,,,,4.0,,,,,Tiên Phương,85111111.1111111,small,3_5b
132199373,4,rent,210.0,,,,,,,3.0,,Đường Phúc Diễn,119047.61904761905,large,under_1b
131806161,3,,60.0,,3.7999,,4.0,,,1.0,,Đường Lạc Long Quân,255000000.0,medium,over_10b
132369376,3,,40.0,40.0,,,3.0,,6.0,1.0,3.0,Đường Trương Định,195000000.0,small,5_10b
132357110,3,rent,33.0,,,,3.0,4.0,,,,"Ngõ 120, Thúy lĩnh",242424.24242424243,small,under_1b
132365306,2,rent,35.0,,,,1.0,,,,2.0,Đê La Thành,120000.0,small,under_1b
128279547,1,sale,106.0,,,,3.0,3.0,,6.0,1.0,Tố Hữu,88679245.28301887,large,5_10b
132363268,2,rent,31.0,,,,1.0,1.0,,4.0,2.0,ngõ 35 tu hoàng,109677.41935483871,small,under_1b
131785732,1,sale,80.0,,,,,,,,,Đường Lê Văn Hiến,268750000.0,medium,over_10b
128486406,1,sale,50.0,,4.5,,,,,1.0,,Phố Phan Kế Toại,250000000.0,small,over_10b
132211732,1,sale,76.0,,,,3.0,2.0,,6.0,1.0,Đại Mỗ,75000000.0,medium,5_10b
132361241,3,,32.0,32.0,,,4.0,4.0,5.0,1.0,2.0,Phố Quan Nhân,218750000.0,small,5_10b
132359201,3,,26.0,26.0,3.5,7.5,3.0,4.0,5.0,1.0,,đặng tiến đông,315384615.38461536,very_small,5_10b
131783717,5,sale,60.0,,,,3.0,1.0,,6.0,2.0,Đường Cầu Bươu,47500000.0,medium,1_3b
132357161,3,rent,40.0,,,,4.0,3.0,,,,Khương Đình,275000.0,small,under_1b
132328491,4,rent,62.0,,,,,,,1.0,,Nguyễn Chí Thanh,645161.2903225806,medium,under_1b
130599979,3,sale,58.0,300.0,4.3498,,7.0,7.0,5.0,1.0,,Đường Đê Trần Khát Chân,189482758.62068966,small,over_10b
132363317,3,sale,40.0,,,,2.0,,,,,quang minh,80000000.0,small,3_5b
132361270,3,,50.0,50.0,6.8,7.3,3.0,5.0,3.0,1.0,1.0,Ngõ Thịnh Quang,242000000.0,small,over_10b
132361286,5,sale,80.0,,,,3.0,2.0,,6.0,2.0,Đường Mai Dịch,59750000.0,medium,3_5b
131304519,5,rent,25.0,,,,1.0,1.0,,4.0,2.0,Phố Tân Mai,100000.0,very_small,under_1b
130575433,1,,194.0,426.0,,,11.0,,3.0,1.0,2.0,Giáp Bát,135051546.39175257,large,over_10b
132236369,1,sale,74.9,,4.0,18.7999,,,,1.0,,Đường Hạ Bằng,44058744.99332443,medium,3_5b
132369490,1,rent,55.0,,,,2.0,1.0,,6.0,2.0,Huỳnh Văn Nghệ,163636.36363636365,small,under_1b
131941459,2,,30.0,,,,1.0,1.0,,,,Phố Nguyễn Khắc Hiếu,183333.33333333334,small,under_1b
132361306,4,rent,45.0,250.0,,,5.0,5.0,5.0,1.0,2.0,Đường Bạch Đằng,344444.44444444444,small,under_1b
132361322,1,,86.0,,,,2.0,,,6.0,3.0,Nguyễn Đức Cảnh,62790697.674418606,medium,5_10b
132369518,3,,39.0,45.0,,,4.0,4.0,5.0,1.0,2.0,Phố Cự Lộc,184615384.6153846,small,5_10b
132369522,3,sale,62.0,62.0,,,3.0,,3.0,1.0,2.0,tứ hiệp,169354838.70967743,medium,over_10b
132361338,4,rent,20.0,,,,,,,,,Trần Đại Nghĩa,200000.0,very_small,under_1b
132076669,1,sale,79.5,,,,2.0,2.0,,6.0,2.0,Xa La,64150943.39622641,medium,5_10b
132088996,1,,100.0,,8.0,16.0,,,,1.0,,Đường Thuỵ Lâm,53200000.0,large,5_10b
132220072,Phòng trọ,,30.0,,,,,,,,2.0,Phố Phan Đình Giót,150000.0,small,under_1b
132361384,1,,30.0,30.0,,,4.0,4.0,5.0,1.0,2.0,Phố Quan Nhân,233333333.33333334,small,5_10b
132330665,1,,55.0,,,,,,,,,Đường Phúc Lợi,126363636.36363636,small,5_10b
132357295,3,,35.0,35.0,,,3.0,,4.0,1.0,,Phố Khương Trung,200000000.0,small,5_10b
132205747,5,,57.0,,,,3.0,2.0,,6.0,2.0,Phố Quỳnh Mai,58596491.22807018,small,3_5b
132365508,3,rent,60.0,,,,3.0,3.0,,,2.0,Đường Ngọc Thụy,233333.33333333334,medium,under_1b
132365510,3,rent,32.0,115.0,3.2,11.0,3.0,3.0,4.0,1.0,2.0,Ngõ Văn Chương,468750.0,small,under_1b
129326280,1,rent,30.0,,,,1.0,1.0,,6.0,2.0,136 Vũ Phạm Hàm,126666.66666666667,small,under_1b
132357327,3,sale,53.0,53.0,,,3.0,3.0,3.0,1.0,,Ngõ 2 xóm 3,97169811.32075472,small,5_10b
132369620,3,sale,50.0,50.0,4.0,,5.0,5.0,5.0,1.0,1.0,Ngũ Hiệp,157000000.0,small,5_10b
132320469,Phòng trọ,,40.0,,,,,,,,2.0,Phố Gia Quất,70000.0,small,under_1b
132371672,3,sale,35.0,,,,4.0,,,,,Đường Hồ Tùng Mậu,228571428.57142857,small,5_10b
132136167,3,,50.0,50.0,4.0,,3.0,4.0,5.0,1.0,2.0,lương khánh Thiện,160000000.0,small,5_10b
132365544,Phòng trọ,,20.0,,,,,,,,2.0,Số 9 ngõ 803 giải phóng,150000.0,very_small,under_1b
131986666,3,,30.0,35.0,5.0,6.0,1.0,1.0,1.0,1.0,,Đường Láng,116666.66666666667,small,under_1b
